"Aaj bahut maza aaya, pan tumchyasobat ghumne jana khup chan vatle",Positive
"Tera idea ekdam mast hota, tyamule project khatam jhala",Positive
"Ya movie chi katha zabardast ahe, mujhe roj yaad aayegi",Positive
"Tujhi smile baghun mala khush vatla, tension gela dur",Positive
"Kalachya party madhe sab khush hote, tujhya energy ne sabko achha laga",Positive
Tujhya support shivay mazya kamyabi la shakya navhati,Positive
"Aajchya weather madhe walk karne ka maja ala, thandak pan enjoy keli",Positive
"Tujhe dekh ke meri chinta geli, tuzya asanyane mala sukun vatla",Positive
"Ya khana chi chav ekdam unique ahe, tumhari mom ne khas banavla",Positive
"Tujhya gift ne mala surprise kela, khup avdela mala",Positive
"Tera effort dekhake mala khup anand zala, tumchy jagi konalach nahi",Positive
"Ya project madhe teamwork chan jhali, saglyanni contribute kela",Positive
"Tujhya advice ne meri life change keli, dhanyavad yar",Positive
"Aaj office madhe promotion milale, tumchya bina he possible nahi hota",Positive
"Tujhya singing la aikun sab khush jhale, talent kadach kay",Positive
"Ya book chi story ekdam engaging ahe, maine rat bhar padhi",Positive
"Tujhya friendship ne mala strength dili, kadhich sodnaar nahi",Positive
"Kalachya trip var majja ali, tujhya planning kharach perfect hoti",Positive
"Tera patience khup admirable ahe, mala shikavla tumhi",Positive
"Ya garden madhe flowers baghun man prasanna zala, photo kadhayla majja ali",Positive
"Tujhya dedication ne sabko impress kela, tumhi best ho",Positive
"Aaj exam madhe acha marks aale, tumchya guidance shivay nahi jhala asa",Positive
"Tujhya creativity ne project la naya dimension dila, dhanyavad",Positive
"Ya recipe try keli, taste ekdam perfect jhala",Positive
"Tujhya honesty ne mala inspire kela, tumchya sobat khush ahe",Positive
"Aaj workout madhe energy khup hoti, motivation tumhi dile",Positive
"Tujhya speech ne sabko emotional kela, dil se appreciate karte",Positive
"Ya trip var memories banavlya, tumchyabina adhuri hotya",Positive
"Tera confidence baghun mala khup hausla milala, tumhi role model ahat",Positive
"Tujhya help ne problem solve jhali, khup khup abhar",Positive
"Aaj meeting madhe sabne tujhe praise kela, tumhi deserve karta",Positive
"Ya song chi melody khup soothing ahe, mood fresh zala",Positive
"Tujhya patience ne conflict solve kela, tumhi samajhdar ahat",Positive
"Tera art ekdam expressive ahe, talent kadach kay",Positive
"Ya festival la celebrate karne madhe khup anand ala, tumhi sab manage kela",Positive
"Tujhya dedication ne project deadline meet keli, dhanyavad",Positive
"Aaj walk madhe nature baghun man prasanna zala, stress geli dur",Positive
"Tujhya smile ne sabko positive feel kavla, energy chan dili",Positive
"Ya movie chi climax unexpected hoti, majja ali baghayla",Positive
"Tujhya support ne meri himat vadhavli, kadhich nahi haren",Positive
"Aajchya success madhe tumcha contribution motha ahe, appreciate karte",Positive
"Tujhya cooking skills khup chan ahet, swad kadach kay",Positive
"Ya competition madhe jeetne ka credit tumhala dya, guidance kharach helpful hoti",Positive
"Tujhya kindness ne mala khup sikavla, tumhi inspiration ahat",Positive
"Aajchya session madhe knowledge khup milala, tumchya explaination chan jhali",Positive
"Tujhya leadership ne team la ekjut kela, kamaal kela",Positive
"Ya trip var adventure khup jhali, tujhya company ne majja vadhvali",Positive
"Tujhya focus ne sabko motivate kela, khup changla",Positive
"Aajchya event madhe sabne teamwork chan dakhvla, proud vatla",Positive
"Tujhya hard work la salute karto, tumhi sagle karu shakta",Positive
"Aaj office madhe khup tension hota, kaam kadhich sampla nahi",Negative
"Tera reply samajh mein nahi aaya, confusion vadhla",Negative
"Ya phone chi battery jaldi geli, ab kaam adhura rahila",Negative
"Kal meeting madhe khup boring hota, kuch naya nahi suna",Negative
"Tujhya advice ne problem solve nahi jhali, ulta vadhavli",Negative
"Mera laptop slow chalu ahe, kaam karne ka mann nahi",Negative
"Aaj presentation madhe khup chuk jhalya, boss disappointed jhala",Negative
"Tujhya bolne ka style irritate karto, thoda shant bola kar",Negative
"Ya restaurant cha khana khup kharab hota, paise waste jhale",Negative
"Mazi car petrol madhe kharcha jasta zala, ab paise kami padle",Negative
"Tujhya excuses ne sabko tang kela, thik kar na",Negative
"Aaj project deadline miss jhali, boss khup gussa jhala",Negative
"Tujhya planning madhe kami hoti, tyamule failure aala",Negative
"Ya movie chi story ekdam boring hoti, paise waste ke",Negative
"Tujhya attitude ne sabko hurt kela, sudhar na",Negative
"Aaj train late aali, office la pan phaslo",Negative
"Tujhya carelessness ne mistake vadhvali, ab problem aali",Negative
"Ya hotel madhe service kharab hoti, kabhi wapas nahi jaunga",Negative
"Tera decision galat hota, tyamule nuksan jhala",Negative
"Mazi health madhe kami ahe, tujhya negligence ne problem vadhavli",Negative
"Aaj rain madhe bike puncture jhali, office late pohchlo",Negative
"Tujhya promises kabhi purna nahi hote, vishwas uthla",Negative
"Ya product chi quality kharab ahe, paise waste ke",Negative
"Tujhya comments ne dil dukhavla, thoda soch kar bola kar",Negative
"Aaj exam madhe time kami padla, paper adhura rahila",Negative
"Tujhya laziness ne project delay kela, team khush nahi",Negative
"Ya trip madhe arguments jasta jhale, enjoy nahi zala",Negative
"Tujhya negativity ne sabko depress kela, thoda positive raha",Negative
"Aaj doctor ne strict diet suggest keli, khana madhe majja nahi",Negative
"Tujhya habit ne relationship madhe problem nirmili, sudhar na",Negative
"Ya movie madhe logic nahi hota, time waste jhala",Negative
"Tera ego sabko tang karto, thoda adjust kara kar",Negative
"Aaj market madhe crowd jasta hota, kuch kharedi nahi zali",Negative
"Tujhya absence ne project madhe kami dakhvli, team upset jhali",Negative
"Ya phone madhe network issues ahet, call karne ka mood nahi",Negative
"Tujhya delay ne sabko wait karavla, time management seekh",Negative
"Aajchya din madhe kuch plan nahi jhala, bor jhala",Negative
"Tujhya rudeness ne sabko offend kela, sorry pan nahi bola",Negative
"Ya game madhe cheating jhali, khelne ka maja gelo",Negative
"Tera overconfidence ne nuksan kela, thoda cautious ho",Negative
"Aaj laptop crash jhala, important data gelo",Negative
"Tujhya forgetfulness ne problem create keli, yaad thev na",Negative
"Ya trip madhe luggage hirapala, tension jhali",Negative
"Tujhya tone madhe disrespect hota, sudhar na",Negative
"Aajchya presentation madhe data wrong hota, embarrassment jhali",Negative
"Tujhya criticism ne himat todli, thoda support kar",Negative
"Ya dress chi fitting kharab ahe, paise waste jhale",Negative
"Tera jealousy sabko dikhta hai, thoda trust kar",Negative
"Aaj meeting madhe kuch decide nahi jhala, time waste zala",Negative
"Tujhya demands ne sabko pareshan kela, limit madhe raha",Negative
Mi tula pyaar karto.,Positive
